ID;tombe;site;province;zone_geo;amphore;monnaie;lampe;armement;parure;strigile;instrument.de.toilette;miroir;vaisselle.métallique;vaisselle.en.verre;matériaux.précieux;char;lit.funéraire;instrument.écriture;quantité.objet;tombe_multiple;sexe.defunt;classe.age.defunt;date_debut;date_fin;intervalle_personnalise;groupe_cah;x;y
398;WED_grab 1848;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;non;indéterminé;indéterminé;-20;100;-75-1;10;49.86499;7.16444
399;WED_grab 1849;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;non;féminin probable;adulte;-20;100;-75-1;10;49.86499;7.16444
400;WED_grab 185;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;non;indéterminé;bébé;-20;100;-75-1;10;49.86499;7.16444
401;WED_grab 1861;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;non;indéterminé;enfant;-20;100;-75-1;10;49.86499;7.16444
402;WED_grab 1862;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;non;indéterminé;adulte;-20;100;-75-1;10;49.86499;7.16444
403;WED_grab 1863;WED;Germanie;Gaule du nord;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;non;indéterminé;enfant;-20;100;-75-1;10;49.86499;7.16444
404;WED_grab 1867;WED;Germanie;Gaule du nord;0;1;0;0;1;0;0;0;0;0;0;0;0;0;6;non;masculin;enfant;-20;100;-75-1;10;49.86499;7.16444
405;WED_grab 187;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;non;indéterminé;adulte;-20;100;-75-1;10;49.86499;7.16444
406;WED_grab 1873;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;non;indéterminé;adulte;-20;100;-75-1;10;49.86499;7.16444
407;WED_grab 1874;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;non;indéterminé;adulte;-20;100;-75-1;10;49.86499;7.16444
408;WED_grab 1877;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;non;indéterminé;adulte;-20;100;-75-1;10;49.86499;7.16444
409;WED_grab 1882;WED;Germanie;Gaule du nord;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;non;indéterminé;adulte;-20;100;-75-1;10;49.86499;7.16444
410;WED_grab 1884;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;non;masculin probable;adulte;-20;100;-75-1;10;49.86499;7.16444
411;WED_grab 1889;WED;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;non;féminin probable;adulte;-20;100;-75-1;10;49.86499;7.16444
412;WED_grab 1890;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;non;indéterminé;adulte;-20;100;-75-1;10;49.86499;7.16444
413;WED_grab 1892;WED;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;féminin probable;adulte;-20;100;-75-1;10;49.86499;7.16444
414;WED_grab 1893;WED;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;non;féminin probable;adulte;-20;100;-75-1;10;49.86499;7.16444
415;WED_grab 1895;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;non;féminin probable;adulte;-20;100;-75-1;10;49.86499;7.16444
416;WED_grab 1898;WED;Germanie;Gaule du nord;0;1;1;0;1;0;0;0;0;0;0;0;0;0;4;non;masculin;adulte;-20;100;-75-1;10;49.86499;7.16444
417;WED_grab 1900;WED;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;non;masculin;adulte;-20;100;-75-1;10;49.86499;7.16444
418;WED_grab 1901;WED;Germanie;Gaule du nord;0;1;0;0;1;0;0;0;0;0;0;0;0;0;4;non;masculin probable;adulte;-20;100;-75-1;10;49.86499;7.16444
419;WED_grab 1902;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;non;indéterminé;adulte;-20;100;-75-1;10;49.86499;7.16444
420;WED_grab 1903;WED;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;non;indéterminé;bébé;-20;100;-75-1;10;49.86499;7.16444
421;WED_grab 1905;WED;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;non;masculin probable;adulte;-20;100;-75-1;10;49.86499;7.16444
422;WED_grab 1910;WED;Germanie;Gaule du nord;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;non;masculin probable;adulte;-20;100;-75-1;10;49.86499;7.16444
423;WED_grab 1917;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;non;masculin;adulte;-20;100;-75-1;10;49.86499;7.16444
424;WED_grab 1919;WED;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;féminin probable;adulte;-20;100;-75-1;10;49.86499;7.16444
425;WED_grab 192;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;non;indéterminé;enfant;-20;100;-75-1;10;49.86499;7.16444
426;WED_grab 1922;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;non;féminin probable;adulte;-20;100;-75-1;10;49.86499;7.16444
427;WED_grab 1924;WED;Germanie;Gaule du nord;0;1;0;0;1;0;0;0;0;0;0;0;0;0;3;non;indéterminé;bébé;-20;100;-75-1;10;49.86499;7.16444
428;WED_grab 1926;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;non;féminin probable;adulte;-20;100;-75-1;10;49.86499;7.16444
429;WED_grab 1945;WED;Germanie;Gaule du nord;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;non;indéterminé;adulte;-20;100;-75-1;10;49.86499;7.16444
430;WED_grab 1950;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;1;0;0;0;0;4;non;féminin probable;adulte;-20;100;-75-1;10;49.86499;7.16444
431;WED_grab 1951;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;34;non;féminin;adulte;-20;100;-75-1;10;49.86499;7.16444
432;WED_grab 1952;WED;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;non;indéterminé;bébé;-20;100;-75-1;10;49.86499;7.16444
433;WED_grab 1955;WED;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;indéterminé;-20;100;-75-1;10;49.86499;7.16444
434;WED_grab 1959;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;non;indéterminé;adulte;-20;100;-75-1;10;49.86499;7.16444
435;WED_grab 1965;WED;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;non;féminin probable;adulte;-20;100;-75-1;10;49.86499;7.16444
436;WED_grab 1968;WED;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;indéterminé;-20;100;-75-1;10;49.86499;7.16444
437;WED_grab 1969;WED;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;non;indéterminé;bébé;-20;100;-75-1;10;49.86499;7.16444
