"ID";"tombe";"site";"province";"zone_geo";"amphore";"monnaie";"lampe";"armement";"parure";"strigile";"instrument.de.toilette";"miroir";"vaisselle.métallique";"vaisselle.en.verre";"matériaux.précieux";"char";"lit.funéraire";"instrument.écriture";"quantité.objet";"tombe_multiple";"sexe.defunt";"classe.age.defunt";"date_debut";"date_fin";"centre_chrono";"intervalle_personnalise";"groupe_cah";"diversite"
"28";"CAB_tombe 4";"CAB";"Gaule Narbonnaise";"Gaule du sud";0;1;1;0;0;0;0;0;0;0;0;0;0;0;4;"non";"indéterminé";"indéterminé";170;170;170;"100 - 300";"1";2
"29";"CAB_tombe 5";"CAB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;1;22;"non";"indéterminé";"indéterminé";70;130;100;"100 - 300";"1";2
"30";"CAB_tombe 7";"CAB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;22;"non";"indéterminé";"indéterminé";90;100;95;"1 - 100";"1";1
"31";"CAB_tombe 8";"CAB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;98;"non";"indéterminé";"indéterminé";50;70;60;"1 - 100";"1";1
"32";"MSB_tombe 107";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"féminin";"adulte";50;150;100;"100 - 300";"1";2
"33";"MSB_tombe 113";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";100;150;125;"100 - 300";"1";1
"34";"MSB_tombe 125";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"indéterminé";100;150;125;"100 - 300";"1";1
"35";"MSB_tombe 126";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"féminin";"adulte";100;150;125;"100 - 300";"1";1
"36";"MSB_tombe 148";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin";"adulte";150;200;175;"100 - 300";"1";2
"37";"MSB_tombe 149";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"enfant";-30;200;85;"1 - 100";"1";0
"38";"MSB_tombe 15";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;"non";"indéterminé";"enfant";50;150;100;"100 - 300";"1";1
"39";"MSB_tombe 151";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;"non";"indéterminé";"adulte";50;200;125;"100 - 300";"1";2
"40";"MSB_tombe 158";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";-30;200;85;"1 - 100";"1";1
"41";"MSB_tombe 160";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";-30;50;10;"1 - 100";"1";0
"42";"MSB_tombe 163";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin";"adulte";150;200;175;"100 - 300";"1";1
"43";"MSB_tombe 166";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"enfant";50;150;100;"100 - 300";"1";0
"44";"MSB_tombe 169";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;1;1;0;0;0;0;0;0;0;1;0;0;0;11;"non";"indéterminé";"enfant";100;150;125;"100 - 300";"1";3
"45";"MSB_tombe 170";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;1;0;0;0;5;"non";"indéterminé";"adulte";100;150;125;"100 - 300";"1";2
"46";"MSB_tombe 175";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"enfant";100;150;125;"100 - 300";"1";2
