ID;tombe;site;province;zone_geo;amphore;monnaie;lampe;armement;parure;strigile;instrument de toilette;miroir;vaisselle métallique;vaisselle en verre;matériaux précieux;char;lit funéraire;instrument écriture;quantité objet;tombe_multiple;sexe defunt;classe age defunt;date_debut;date_fin
37;AVAM_St 36;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;non;masculin;adulte mature;40;70
38;AVAM_St 38;AVAM;Germanie;Gaule du centre-est;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;non;indéterminé;adulte;50;75
39;AVAM_St 41;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;non;indéterminé;adulte mature;40;80
40;AVAM_St 42;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;non;indéterminé;adulte mature;50;75
41;AVAM_St 43;AVAM;Germanie;Gaule du centre-est;0;1;0;0;1;0;0;0;0;1;0;0;0;0;140;non;indéterminé;adulte mature;50;75
42;AVAM_St 45;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;non;indéterminé;adulte mature;50;75
43;AVAM_St 47;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;non;masculin;adulte mature;0;0
44;AVAM_St 49;AVAM;Germanie;Gaule du centre-est;1;0;0;0;0;0;0;0;0;0;0;0;0;1;13;non;masculin;adulte mature;50;75
45;AVAM_St 50;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;adulte;50;75
46;AVAM_St 55;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;non;masculin;adulte mature;30;80
47;AVAM_St 56;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;adulte;1;100
48;AVAM_St 59;AVAM;Germanie;Gaule du centre-est;1;0;0;0;0;0;0;0;0;0;0;0;0;0;42;non;masculin;adulte mature;70;80
49;AVAM_St 61;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;non;indéterminé;juvenis;50;75
50;AVAM_St 62;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;non;masculin;adulte mature;0;0
51;AVAM_St 63/69;AVAM;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;oui;indéterminé;infans I + adulte mature;40;80
52;AVAM_St 65;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;adulte mature;40;70
53;AVAM_St 72;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;non;masculin;adulte mature;40;80
54;AVAM_St 74;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;2;0;0;0;0;90;oui;indéterminé + masculin;infans I ou II + adulte mature;50;75
55;AVAM_St 78;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;non;indéterminé;infans I;40;70
56;AVAM_St 80;AVAM;Germanie;Gaule du centre-est;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;non;indéterminé;adulte;50;75
57;AVAM_St 81;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;1;0;0;0;0;42;non;masculin;adulte mature;50;75
58;AVAM_St 83/90;AVAM;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;4;0;0;0;0;136;oui;indéterminé + masculin;infans I ou II + adulte mature;60;80
59;AVAM_St 84;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;non;masculin;adulte mature;50;75
60;AVAM_St 91;AVAM;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;0;0;0;0;0;33;non;indéterminé;adulte mature;31;70
61;AVEC_Structure 1/48;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;non;indéterminé;infans I;150;230
62;AVEC_Structure 106;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;3;0;0;0;0;8;non;indéterminé;infantile ?;130;160
63;AVEC_Structure 107;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;3;0;0;0;0;16;non;masculin;adulte;50;130
64;AVEC_Structure 109;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;non;masculin;jeune adulte;150;230
65;AVEC_Structure 110 (a ?);AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;non;masculin;adulte mature;130;160
66;AVEC_Structure 110a;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;non;masculin;adulte mature;130;160
67;AVEC_Structure 110a ou b;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;oui;indéterminé + masculin;infans I + adulte mature;130;160
68;AVEC_Structure 111;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;non;féminin ?;jeune adulte;150;230
69;AVEC_Structure 112;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;non;masculin;adulte mature;130;160
70;AVEC_Structure 116;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;2;1;0;0;0;13;non;indéterminé;infans I;50;130
71;AVEC_Structure 119;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;non;indéterminé;infans I;130;160
72;AVEC_Structure 121;AVEC;Germanie;Gaule du centre-est;0;0;0;0;1;0;0;0;0;4;0;0;0;0;14;oui;féminin;jeune adulte;150;230
73;AVEC_Structure 122;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;1;0;0;0;0;4;non;indéterminé;infans II;130;160
74;AVEC_Structure 125;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;non;masculin;juvenis;100;150
