ID;site_abbreviation;fonction_nom;obj_nom;nouvelle_categorie;obj_nmi;materiau_nom;depot_nom;obj_remarque;typeSep_nom;defunt_genre;defunt_age;defunt_classe_age;phase_date_debut;phase_date_fin;province_nom;us_nom;obj_typologie;obj_longueur;obj_hauteur
1155;STL;toilette, hygiène;balsamaire;balsamaire;1;verre;modalité de dépôt inconnue;intérieur coffrage;crémation secondaire à coffrage en tuile;indéterminé;;adulte;-27;14;Gaule Narbonnaise;T109/110;"Rütti 1991, type AR 132 ; Isings 1957, type 26a";;
1156;STL;toilette, hygiène;balsamaire;balsamaire;1;verre;modalité de dépôt inconnue;intérieur coffrage;crémation secondaire à coffrage en tuile;indéterminé;;adulte;-27;14;Gaule Narbonnaise;T109/110;"Rütti 1991, type AR 132 ; Isings 1957, type 26a";;
1157;STL;toilette, hygiène;balsamaire;balsamaire;1;verre;modalité de dépôt inconnue;intérieur coffrage;crémation secondaire à coffrage en tuile;indéterminé;;adulte;-27;14;Gaule Narbonnaise;T109/110;"Rütti 1991, type AR 132 ; Isings 1957, type 26a";;
1158;STL;toilette, hygiène;balsamaire;balsamaire;1;terre cuite;dépôt primaire de mobilier;extérieur urne;crémation secondaire à urne;indéterminé;;adulte;-27;70;Gaule Narbonnaise;T111A;;;115
1159;STL;toilette, hygiène;balsamaire;balsamaire;1;terre cuite;dépôt primaire de mobilier;intérieur fosse;crémation secondaire à urne;indéterminé;;adulte;-27;70;Gaule Narbonnaise;T111A;;;32
1160;STL;toilette, hygiène;balsamaire;balsamaire;1;terre cuite;dépôt primaire de mobilier;intérieur fosse;crémation secondaire à urne;indéterminé;;adulte;-27;70;Gaule Narbonnaise;T111A;;;7
1161;STL;toilette, hygiène;balsamaire;balsamaire;1;terre cuite;dépôt primaire de mobilier;intérieur fosse;crémation secondaire à urne;indéterminé;;adulte;-27;70;Gaule Narbonnaise;T111A;;;9
1162;STL;toilette, hygiène;balsamaire;balsamaire;1;terre cuite;dépôt primaire de mobilier;intérieur fosse;crémation secondaire à urne;indéterminé;;adulte;-27;70;Gaule Narbonnaise;T111A;;;20
1163;STL;toilette, hygiène;balsamaire;balsamaire;1;terre cuite;dépôt primaire de mobilier;intérieur fosse;crémation secondaire à urne;indéterminé;;adulte;-27;70;Gaule Narbonnaise;T111A;;;55
1164;STL;toilette, hygiène;balsamaire;balsamaire;1;terre cuite;modalité de dépôt inconnue;extérieur urne;crémation secondaire à urne;indéterminé;;adulte;-27;96;Gaule Narbonnaise;T111B;;;19
1165;STL;toilette, hygiène;balsamaire;balsamaire;1;terre cuite;modalité de dépôt inconnue;extérieur urne;crémation secondaire à urne;indéterminé;;adulte;-27;96;Gaule Narbonnaise;T111B;;;29
